temp1,temp2,intensity,warm,temp3,gas,outcome
29,870,2868,31.68,0,4928,0
26,885,2763,31.81,3152,4928,0
29,886,3044,31.91,1760,4960,0
29,884,3150,31.58,0,4912,0
29,885,3236,31.63,3184,4944,0
29,884,3098,31.56,1952,4928,0
15,885,3611,33.11,5920,4928,0
27,885,3362,32.37,1376,4960,0
29,884,3240,32.19,1296,4928,0
16,886,3461,33.2,3792,4928,1
17,885,3570,33.39,368,4928,1
14,873,3000,42.12,2176,4928,1
16,886,3394,33.38,4480,4928,1
16,884,3552,33.81,1280,4928,1
16,882,3164,32.66,5664,4944,1
21,883,3100,31.43,3008,4960,1
29,881,3296,31.61,1264,4912,1
16,882,3350,32.66,3792,4944,0
16,881,3345,32.59,5600,4944,0
29,881,3528,30.98,144,4928,0
29,882,3294,31.39,3536,4928,0
17,883,2999,33.19,4976,4944,0
29,882,3262,31.81,0,4912,0
29,883,3116,31.33,3536,4928,0
29,883,3181,31.44,1216,4928,0
29,883,3170,31.82,0,4928,0
29,883,3174,31.42,2192,4944,0
29,882,3162,31.41,1104,4912,0
16,884,2851,32.92,5856,4944,0
29,883,3055,31.22,1968,4960,0
29,881,3079,31.45,1408,4944,0
16,882,0,32.79,5232,4912,0
29,881,2906,32.11,0,4944,0
29,883,3156,32.15,2768,4944,0
29,882,3200,31.93,416,4944,0
29,883,3376,31.88,0,4928,0
29,881,3188,31.64,3024,4944,0
29,881,3634,32.04,1040,4944,0
14,852,6093,42.53,2400,4928,0
16,882,3695,33.13,4720,4944,0
16,882,3026,33.31,1216,4944,0
15,876,3153,34.69,3840,4944,0
16,865,2959,32.64,0,4944,0
16,877,3356,32.44,4304,4928,0
29,873,2890,30.61,2320,4928,0
29,874,3483,30.64,576,4944,0
20,877,3004,32.51,5232,4944,0
29,874,2802,31.02,0,4928,0
29,874,3418,31.04,2400,4944,0
29,874,3535,31.35,1536,4944,0
16,875,3185,30.91,2016,4928,0
16,877,3020,30.91,5984,4912,0
16,877,2913,32.7,5728,4944,0
29,876,2860,31.23,2096,4944,0
29,874,3541,31.04,848,4976,0
16,877,3577,32.29,5392,4928,0
29,875,2703,30.51,1952,4960,0
29,873,3306,30.67,1760,4944,0
17,877,0,31.93,5120,4944,0
29,876,2646,30.56,0,4896,0
29,876,2812,30.68,2816,4928,0
29,873,3202,30.55,2272,4960,0
16,876,3071,31.82,5264,4944,0
29,875,3116,30.8,2928,4928,0
29,874,3012,30.84,784,4928,0
16,876,3195,32.64,5472,4928,0
29,877,2824,31.22,2016,4928,0
29,875,3016,30.78,1632,4944,0
29,876,3155,32.95,4048,4912,0
29,874,2991,32.91,368,4944,0
16,875,3274,32.12,5280,4944,0
29,875,3238,30.96,1952,4960,0
29,874,2696,30.8,1168,4944,0
16,877,3494,33.03,5072,4944,0
29,874,3614,31.79,2464,4944,0
29,874,3156,31.21,640,4928,0
15,875,3240,32.56,5760,4912,0
29,876,2866,31.31,1408,4928,0
29,873,3349,31.23,1040,4944,0
16,875,3392,31.74,4112,4928,1
16,877,2812,32.05,784,4944,1
16,877,2824,32.67,4112,4944,1
17,874,3251,32.45,848,4960,1
16,876,2945,32.96,4816,4944,0
29,875,3333,30.87,2032,4944,0
29,874,3025,30.55,1712,4944,0
15,875,2882,32.55,5824,4944,0
27,875,2985,30.36,2720,4928,0
29,874,3434,30.82,1376,4944,0
16,876,3249,31.94,5920,4944,0
29,874,3300,30.74,2528,4944,0
29,874,3050,30.96,720,4960,0
15,874,2703,31.5,5536,5120,0
29,873,3513,30.54,1952,4944,0
29,874,3277,30.7,1408,4960,0
17,875,3157,32.85,4880,4928,0
29,874,3260,30.77,0,4944,0
29,876,3098,30.79,3440,4912,0
29,872,3342,30.79,880,4912,0
16,876,2928,32.79,3536,4960,0
17,875,3567,32.64,1072,4960,0
15,877,3163,32.37,3392,4944,0
17,877,3453,32.37,4800,4928,0
29,874,3350,30.27,0,4960,0
29,876,3091,30.18,2928,4960,0
15,876,3203,32.48,5600,4928,0
20,875,3075,30.88,1824,4928,0
29,875,3166,31.43,976,4944,0
16,877,3259,33.04,5872,4928,0
29,873,2709,31.24,0,4928,0
29,876,3328,31.05,2240,4928,0
29,875,3043,31.26,1520,4928,0
16,875,3197,31.49,6048,4944,0
17,874,2686,29.47,1824,4944,0
23,875,2996,30.6,912,4928,0
16,877,2948,32.3,4752,4928,0
29,878,2615,30.27,0,4912,0
26,876,2767,30.2,2656,4944,0
29,874,2993,30.63,1408,4944,0
29,873,3236,30.6,0,4960,0
29,873,3496,30.74,2960,4960,0
29,875,3219,30.82,1968,4944,0
15,877,3169,32.25,5536,4960,0
17,874,3159,30.84,2096,4944,0
29,873,3229,30.85,2096,4960,0
14,860,2995,39.37,2688,4912,0
16,877,3384,32.44,4176,4960,0
16,875,3283,32.69,1088,4944,0
16,877,3080,32.16,5456,4944,0
28,874,3480,30.73,1888,4960,0
29,874,3025,30.81,880,4960,0
15,877,2893,32.62,5664,4928,0
25,873,3085,30.7,2208,4944,0
29,874,2990,30.43,1472,4960,0
16,877,3262,32.25,5696,4960,0
23,876,2672,30.08,1760,4944,0
29,875,3268,30.15,816,4944,0
16,877,3076,32.17,4592,4944,0
29,874,2584,29.96,0,4944,0
